Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
TX,biomass,1,1,1,0.0
TX_W,conventional_steam_coal_1,1,1,2,0.0
TX_W,conventional_steam_coal_2,1,2,3,0.0
TX_W,conventional_steam_coal_3,1,3,4,0.0
TX_FW,conventional_steam_coal_4,1,4,5,0.0
TX_FW,conventional_steam_coal_5,1,5,6,0.0
TX_FW,conventional_steam_coal_6,1,6,7,0.0
TX_FW,conventional_steam_coal_7,1,7,8,0.0
TX_FW,conventional_steam_coal_8,1,8,9,0.0
TX_FW,conventional_steam_coal_9,1,9,10,0.0
TX_NC,conventional_steam_coal_10,1,10,11,0.0
TX_W,conventional_steam_coal_11,1,11,12,0.0
TX_FW,conventional_steam_coal_12,1,12,13,0.0
TX,natural_gas_fired_combined_cycle,1,1,14,0.0
TX,natural_gas_fired_combined_cycle_1,1,2,15,0.0
TX,natural_gas_fired_combined_cycle_2,1,3,16,0.0
TX,natural_gas_fired_combined_cycle_3,1,4,17,0.0
TX,natural_gas_fired_combined_cycle_4,1,5,18,0.0
TX,natural_gas_fired_combined_cycle_5,1,6,19,0.0
TX,natural_gas_fired_combined_cycle_6,1,7,20,0.0
TX,natural_gas_fired_combined_cycle_7,1,8,21,0.0
TX,natural_gas_fired_combined_cycle_8,1,9,22,0.0
TX,natural_gas_fired_combined_cycle_9,1,10,23,0.0
TX,natural_gas_fired_combined_cycle_10,1,11,24,0.0
TX,natural_gas_fired_combined_cycle_11,1,12,25,0.0
TX,natural_gas_fired_combined_cycle_12,1,13,26,0.0
TX,natural_gas_fired_combined_cycle_13,1,14,27,0.0
TX,natural_gas_fired_combined_cycle_14,1,15,28,0.0
TX,natural_gas_fired_combustion_turbine,1,16,29,0.0
TX,natural_gas_fired_combustion_turbine_1,1,17,30,0.0
TX,natural_gas_fired_combustion_turbine_2,1,18,31,0.0
TX,natural_gas_fired_combustion_turbine_3,1,19,32,0.0
TX,natural_gas_fired_combustion_turbine_4,1,20,33,0.0
TX,natural_gas_fired_combustion_turbine_5,1,21,34,0.0
TX,natural_gas_fired_combustion_turbine_6,1,22,35,0.0
TX,natural_gas_fired_combustion_turbine_7,1,23,36,0.0
TX,natural_gas_fired_combustion_turbine_8,1,24,37,0.0
TX,natural_gas_fired_combustion_turbine_9,1,25,38,0.0
TX,natural_gas_fired_combustion_turbine_10,1,26,39,0.0
TX,natural_gas_fired_combustion_turbine_11,1,27,40,0.0
TX,natural_gas_fired_combustion_turbine_12,1,28,41,0.0
TX,natural_gas_fired_combustion_turbine_13,1,29,42,0.0
TX,natural_gas_fired_combustion_turbine_14,1,30,43,0.0
TX,natural_gas_fired_combustion_turbine_15,1,31,44,0.0
TX,natural_gas_steam_turbine,1,32,45,0.0
TX,natural_gas_steam_turbine_1,1,33,46,0.0
TX,natural_gas_steam_turbine_2,1,34,47,0.0
TX,natural_gas_steam_turbine_3,1,35,48,0.0
TX,natural_gas_steam_turbine_4,1,36,49,0.0
TX,natural_gas_steam_turbine_5,1,37,50,0.0
TX,natural_gas_steam_turbine_6,1,38,51,0.0
TX,natural_gas_steam_turbine_7,1,39,52,0.0
TX,natural_gas_steam_turbine_8,1,40,53,0.0
TX,natural_gas_steam_turbine_9,1,41,54,0.0
TX,natural_gas_steam_turbine_10,1,42,55,0.0
TX,natural_gas_steam_turbine_11,1,43,56,0.0
TX,natural_gas_steam_turbine_12,1,44,57,0.0
TX,natural_gas_steam_turbine_13,1,45,58,0.0
TX,natural_gas_steam_turbine_14,1,46,59,0.0
TX,natural_gas_steam_turbine_15,1,47,60,0.0
TX,natural_gas_steam_turbine_16,1,48,61,0.0
TX,natural_gas_steam_turbine_17,1,49,62,0.0
TX,nuclear,1,1,63,0.0
TX,nuclear_1,1,2,64,0.0
TX,onshore_wind_turbine,1,1,65,0.0
TX,onshore_wind_turbine_exp,1,2,66,0.0
TX_W,onshore_wind_turbine_ppa_1,1,2,67,0.0
TX_FW,onshore_wind_turbine_ppa_2,1,2,68,0.0
TX_NC,onshore_wind_turbine_ppa_3,1,2,69,0.0
TX,small_hydroelectric,1,1,70,0.0
TX,solar_photovoltaic,1,1,71,0.0
TX,solar_photovoltaic_exp,1,2,72,0.0
TX_W,solar_photovoltaic_ppa_1,1,2,73,0.0
TX_FW,solar_photovoltaic_ppa_2,1,2,74,0.0
TX_NC,solar_photovoltaic_ppa_3,1,2,75,0.0
TX,Battery,1,1,76,0.0
TX,Battery_exp,1,2,77,0.0
TX_W,Battery_ppa_1,1,1,78,0.0
TX_FW,Battery_ppa_2,1,2,79,0.0
TX_NC,Battery_ppa_3,1,3,80,0.0
TX_W,Flexible_demand_1,1,3,81,0.0
TX_FW,Flexible_demand_2,1,3,82,0.0
TX_NC,Flexible_demand_3,1,3,83,0.0
TX_W,Coal_retrofit_1,1,1,84,0.0
TX_W,Coal_retrofit_2,1,2,85,0.0
TX_W,Coal_retrofit_3,1,3,86,0.0
TX_FW,Coal_retrofit_4,1,4,87,0.0
TX_FW,Coal_retrofit_5,1,5,88,0.0
TX_FW,Coal_retrofit_6,1,6,89,0.0
TX_FW,Coal_retrofit_7,1,7,90,0.0
TX_FW,Coal_retrofit_8,1,8,91,0.0
TX_FW,Coal_retrofit_9,1,9,92,0.0
TX_NC,Coal_retrofit_10,1,10,93,0.0
TX_W,Coal_retrofit_11,1,11,94,0.0
TX_FW,Coal_retrofit_12,1,12,95,0.0
